id,district_id,name,men,women
9253,1005,ΔΥΤΙΚΗΣ ΜΑΝΗΣ,4906,5045
9254,1005,ΚΑΛΑΜΑΤΑΣ,31973,34409
9255,1005,ΜΕΣΣΗΝΗΣ,19002,19163
9256,1005,ΟΙΧΑΛΙΑΣ,10207,10424
9257,1005,ΠΥΛΟΥ - ΝΕΣΤΟΡΟΣ,14665,15543
9258,1005,ΤΡΙΦΥΛΛΙΑΣ,16970,17580
9259,1101,ΙΚΑΡΙΑΣ ,5765,5846
9260,1101,ΦΟΥΡΝΩΝ ΚΟΡΣΕΩΝ,862000,917000
9261,1102,ΛΕΣΒΟΥ,49677,55143
9262,1103,ΑΓΙΟΥ ΕΥΣΤΡΑΤΙΟΥ,441000,489000
9263,1103,ΛΗΜΝΟΥ,12307,12878
9264,1104,ΣΑΜΟΥ,18677,19168
9265,1105,ΟΙΝΟΥΣΣΩΝ,716000,819000
9266,1105,ΧΙΟΥ,30065,31488
9267,1105,ΨΑΡΩΝ,315000,305000
9268,1201,ΑΝΔΡΟΥ,6506,6540
9269,1202,ΑΝΑΦΗΣ,253000,233000
9270,1202,ΘΗΡΑΣ,7000,6914
9271,1202,ΙΗΤΩΝ,1185,1142
9272,1202,ΣΙΚΙΝΟΥ,254000,252000
9273,1202,ΦΟΛΕΓΑΝΔΡΟΥ,412000,417000
9274,1203,ΑΓΑΘΟΝΗΣΙΟΥ,147000,141000
9275,1203,ΑΣΤΥΠΑΛΑΙΑΣ,1052,1043
9276,1203,ΚΑΛΥΜΝΙΩΝ,10644,10377
9277,1203,ΛΕΙΨΩΝ,601000,571000
9278,1203,ΛΕΡΟΥ,4316,4465
9279,1203,ΠΑΤΜΟΥ,1689,1633
9280,1204,ΚΑΡΠΑΘΟΥ,4298,4265
9281,1204,ΚΑΣΟΥ,980000,995000
9282,1205,ΚΕΑΣ,1158,1242
9283,1205,ΚΥΘΝΟΥ,1329,1306
9284,1206,ΚΩ,14530,14289
9285,1206,ΝΙΣΥΡΟΥ,1130,1129
9286,1207,ΚΙΜΩΛΟΥ,789000,747000
9287,1207,ΜΗΛΟΥ,2700,2778
9288,1207,ΣΕΡΙΦΟΥ,1133,1232
9289,1207,ΣΙΦΝΟΥ,1674,1626
9290,1208,ΜΥΚΟΝΟΥ,3813,3623
9291,1209,ΑΜΟΡΓΟΥ,1138,1105
9292,1209,ΝΑΞΟΥ & ΜΙΚΡΩΝ ΚΥΚΛΑΔΩΝ,10540,10840
9293,1210,ΑΝΤΙΠΑΡΟΥ,605000,579000
9294,1210,ΠΑΡΟΥ,6178,6300
9295,1211,ΜΕΓΙΣΤΗΣ,735000,859000
9296,1211,ΡΟΔΟΥ,48958,48713
9297,1211,ΣΥΜΗΣ,2286,2046
9298,1211,ΤΗΛΟΥ,522000,543000
9299,1211,ΧΑΛΚΗΣ,385000,389000
9300,1212,ΣΥΡΟΥ - ΕΡΜΟΥΠΟΛΗΣ,9902,10937
9301,1213,ΤΗΝΟΥ,4927,5186
9302,1301,ΑΡΧΑΝΩΝ - ΑΣΤΕΡΟΥΣΙΩΝ,9255,9399
9303,1301,ΒΙΑΝΝΟΥ,3264,3506
9304,1301,ΓΟΡΤΥΝΑΣ,9508,9582
9305,1301,ΗΡΑΚΛΕΙΟΥ,59934,64260
9306,1301,ΜΑΛΕΒΙΖΙΟΥ,10699,10710
9307,1301,ΜΙΝΩΑ ΠΕΔΙΑΔΟΣ,9633,9837
9308,1301,ΦΑΙΣΤΟΥ,11280,11124
9309,1301,ΧΕΡΣΟΝΗΣΟΥ,9874,9440
9310,1302,ΑΓΙΟΥ ΝΙΚΟΛΑΟΥ,10937,11277
9311,1302,ΙΕΡΑΠΕΤΡΑΣ,11550,11556
9312,1302,ΟΡΟΠΕΔΙΟΥ ΛΑΣΙΘΙΟΥ,1793,1930
9313,1302,ΣΗΤΕΙΑΣ,9594,9891
9314,1303,ΑΓΙΟΥ ΒΑΣΙΛΕΙΟΥ,5100,4927
9315,1303,ΑΜΑΡΙΟΥ,3501,3324
9316,1303,ΑΝΩΓΕΙΩΝ,1321,1339
9317,1303,ΜΥΛΟΠΟΤΑΜΟΥ,7247,7127
9318,1303,ΡΕΘΥΜΝΗΣ,17983,19180
9319,1304,ΑΠΟΚΟΡΩΝΟΥ,8597,8559
9320,1304,ΓΑΥΔΟΥ,101000,82000
9321,1304,ΚΑΝΤΑΝΟΥ - ΣΕΛΙΝΟΥ,3661,3619
9322,1304,ΚΙΣΣΑΜΟΥ,6609,6546
9323,1304,ΠΛΑΤΑΝΙΑ,10982,10988
9324,1304,ΣΦΑΚΙΩΝ,1594,1556
9325,1304,ΧΑΝΙΩΝ,37540,40534
