ΚΩΔ;ΠΕΡΙΦΕΡΕΙΑ;ΚΩΔ1;ΔΗΜΟΣ;ΑΝΔΡΕΣ;ΓΥΝΑΙΚΕΣ;ΣΥΝΟΛΟ
0304;ΦΛΩΡΙΝΑΣ;9071;ΠΡΕΣΠΩΝ;3.625;3.613;7.238
0304;ΦΛΩΡΙΝΑΣ;9072;ΦΛΩΡΙΝΑΣ;28.096;29.370;57.466
0401;ΑΡΤΑΣ;9073;ΑΡΤΑΙΩΝ;19.870;21.168;41.038
0401;ΑΡΤΑΣ;9074;ΓΕΩΡΓΙΟΥ ΚΑΡΑΙΣΚΑΚΗ;6.175;5.636;11.811
0401;ΑΡΤΑΣ;9075;ΚΕΝΤΡΙΚΩΝ ΤΖΟΥΜΕΡΚΩΝ ;6.942;6.741;13.683
0401;ΑΡΤΑΣ;9076;ΝΙΚΟΛΑΟΥ ΣΚΟΥΦΑ;7.729;7.916;15.645
0402;ΘΕΣΠΡΩΤΙΑΣ;9077;ΗΓΟΥΜΕΝΙΤΣΑΣ;14.251;14.316;28.567
0402;ΘΕΣΠΡΩΤΙΑΣ;9078;ΣΟΥΛΙΟΥ;8.634;8.286;16.920
0402;ΘΕΣΠΡΩΤΙΑΣ;9079;ΦΙΛΙΑΤΩΝ;7.815;7.570;15.385
0403;ΙΩΑΝΝΙΝΩΝ;9080;ΒΟΡΕΙΩΝ ΤΖΟΥΜΕΡΚΩΝ;5.511;5.487;10.998
0403;ΙΩΑΝΝΙΝΩΝ;9081;ΔΩΔΩΝΗΣ;10.548;9.892;20.440
0403;ΙΩΑΝΝΙΝΩΝ;9082;ΖΑΓΟΡΙΟΥ;4.216;4.480;8.696
0403;ΙΩΑΝΝΙΝΩΝ;9083;ΖΙΤΣΑΣ;10.033;10.344;20.377
0403;ΙΩΑΝΝΙΝΩΝ;9084;ΙΩΑΝΝΙΤΩΝ;34.026;37.229;71.255
0403;ΙΩΑΝΝΙΝΩΝ;9085;ΚΟΝΙΤΣΑΣ;6.589;6.533;13.122
0403;ΙΩΑΝΝΙΝΩΝ;9086;ΜΕΤΣΟΒΟΥ;5.168;4.993;10.161
0403;ΙΩΑΝΝΙΝΩΝ;9087;ΠΩΓΩΝΙΟΥ;8.608;8.941;17.549
0404;ΠΡΕΒΕΖΑΣ;9088;ΖΗΡΟΥ;10.185;9.967;20.152
0404;ΠΡΕΒΕΖΑΣ;9089;ΠΑΡΓΑΣ;8.682;8.183;16.865
0404;ΠΡΕΒΕΖΑΣ;9090;ΠΡΕΒΕΖΑΣ;14.892;15.477;30.369
0501;ΚΑΡΔΙΤΣΑΣ;9091;ΑΡΓΙΘΕΑΣ;4.105;4.050;8.155
0501;ΚΑΡΔΙΤΣΑΣ;9092;ΚΑΡΔΙΤΣΑΣ;25.468;26.422;51.890
0501;ΚΑΡΔΙΤΣΑΣ;9093;ΛΙΜΝΗΣ ΠΛΑΣΤΗΡΑ;4.324;4.219;8.543
0501;ΚΑΡΔΙΤΣΑΣ;9094;ΜΟΥΖΑΚΙΟΥ;11.683;11.301;22.984
0501;ΚΑΡΔΙΤΣΑΣ;9095;ΠΑΛΑΜΑ;9.666;9.537;19.203
0501;ΚΑΡΔΙΤΣΑΣ;9096;ΣΟΦΑΔΩΝ;12.392;12.570;24.962
0502;ΛΑΡΙΣΑΣ;9097;ΑΓΙΑΣ;7.336;7.592;14.928
0502;ΛΑΡΙΣΑΣ;9098;ΕΛΑΣΣΟΝΑΣ;20.088;19.709;39.797
0502;ΛΑΡΙΣΑΣ;9099;ΚΙΛΕΛΕΡ;12.543;12.950;25.493
0502;ΛΑΡΙΣΑΣ;9100;ΛΑΡΙΣΑΙΩΝ;51.831;57.185;109.016
0502;ΛΑΡΙΣΑΣ;9101;ΤΕΜΠΩΝ ;9.321;8.992;18.313
0502;ΛΑΡΙΣΑΣ;9102;ΤΥΡΝΑΒΟΥ;11.235;11.523;22.758
0502;ΛΑΡΙΣΑΣ;9103;ΦΑΡΣΑΛΩΝ;10.368;10.451;20.819
0503;ΜΑΓΝΗΣΙΑΣ;9104;ΑΛΜΥΡΟΥ;9.741;10.237;19.978
0503;ΜΑΓΝΗΣΙΑΣ;9105;ΒΟΛΟΥ;53.018;57.771;110.789
0503;ΜΑΓΝΗΣΙΑΣ;9106;ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ;3.728;4.004;7.732
0503;ΜΑΓΝΗΣΙΑΣ;9107;ΝΟΤΙΟΥ ΠΗΛΙΟΥ;5.902;6.475;12.377
0503;ΜΑΓΝΗΣΙΑΣ;9108;ΡΗΓΑ ΦΕΡΑΙΟΥ;6.524;6.722;13.246
0504;ΣΠΟΡΑΔΩΝ;9109;ΑΛΟΝΝΗΣΟΥ;875;860;1.735
0504;ΣΠΟΡΑΔΩΝ;9110;ΣΚΙΑΘΟΥ;2.562;2.466;5.028
0504;ΣΠΟΡΑΔΩΝ;9111;ΣΚΟΠΕΛΟΥ;2.634;2.708;5.342
0505;ΤΡΙΚΑΛΩΝ;9112;ΚΑΛΑΜΠΑΚΑΣ;18.987;18.559;37.546
